version,M,K,N,P,run,t_overall,t_work,t_io_in,t_io_out
openmp,2048,2048,2048,1,1,4.412142,4.395039,0.016988,0.000085
openmp,2048,2048,2048,1,2,4.648755,4.631758,0.016882,0.000085
openmp,2048,2048,2048,1,3,4.396691,4.379652,0.016924,0.000087
openmp,2048,2048,2048,2,1,2.275781,2.258901,0.016731,0.000119
openmp,2048,2048,2048,2,2,2.236814,2.219677,0.016991,0.000117
openmp,2048,2048,2048,2,3,2.261307,2.244347,0.016805,0.000129
openmp,2048,2048,2048,4,1,1.872118,1.855023,0.016947,0.000120
openmp,2048,2048,2048,4,2,1.888025,1.870899,0.016978,0.000122
openmp,2048,2048,2048,4,3,1.872881,1.855687,0.017042,0.000127
openmp,2048,2048,2048,8,1,1.048698,1.031451,0.017078,0.000141
openmp,2048,2048,2048,8,2,1.047371,1.028646,0.018559,0.000138
openmp,2048,2048,2048,8,3,1.049459,1.030873,0.018393,0.000163
openmp,2048,2048,2048,16,1,0.596532,0.578057,0.018351,0.000093
openmp,2048,2048,2048,16,2,0.596166,0.577331,0.018713,0.000094
openmp,2048,2048,2048,16,3,0.595850,0.577106,0.018623,0.000091
openmp,2048,2048,2048,32,1,0.485277,0.466462,0.018703,0.000084
openmp,2048,2048,2048,32,2,0.466913,0.447769,0.019036,0.000082
openmp,2048,2048,2048,32,3,0.474706,0.454838,0.019754,0.000086
openmp,2048,2048,2048,64,1,0.474183,0.454261,0.019792,0.000105
openmp,2048,2048,2048,64,2,0.483613,0.462586,0.020896,0.000103
openmp,2048,2048,2048,64,3,0.472339,0.450964,0.021245,0.000100
openmp,2048,2048,2048,128,1,0.738996,0.717698,0.021184,0.000085
openmp,2048,2048,2048,128,2,0.727967,0.703321,0.024537,0.000080
openmp,2048,2048,2048,128,3,0.706635,0.680406,0.026094,0.000106
serial,4096,4096,4096,1,1,21.631291,21.512285,0.118922,0.000053
serial,4096,4096,4096,1,2,35.598715,35.526344,0.072289,0.000047
serial,4096,4096,4096,1,3,22.847083,22.772229,0.074737,0.000074
pthreads,4096,4096,4096,1,1,33.981249,33.921152,0.059952,0.000042
pthreads,4096,4096,4096,1,2,52.209505,52.134554,0.074769,0.000061
pthreads,4096,4096,4096,1,3,34.101136,34.041133,0.059835,0.000045
pthreads,4096,4096,4096,2,1,18.257892,18.185313,0.072355,0.000049
pthreads,4096,4096,4096,2,2,32.877275,32.818501,0.058557,0.000055
pthreads,4096,4096,4096,2,3,33.675349,33.601894,0.073233,0.000047
